-112.024651,33.448238
-112.026978,33.448212
-112.028145,33.448219
-112.028748,33.448189
-112.029358,33.448196
-112.030251,33.448215
-112.031166,33.448238
-112.032806,33.448231
-112.033524,33.448254
-112.034477,33.448261
-112.034988,33.448265
-112.036026,33.448257
-112.038086,33.448269
-112.038971,33.448341
-112.056389,33.448261
-112.073822,33.448261
-112.073883,33.451389
-112.073807,33.452320
-112.073776,33.459469
-112.073669,33.461479
-112.073708,33.462429
-112.073753,33.462700
-112.073807,33.462791
